Genotype ID,Planting date,# seeds planted,#Final Plants,Exudates collection date,Exudates collection Method,Analysis LC-MS Amino Acids,Analysis GC-MS ,"Plant health notes. Planting/Growth chamber (G) Good (B) Bad. IF EMPTY, NN",Final result.  G(Good) B (Bad),Notes,More notes,Root Weight Taken Date,Number of Plants,Rep1_DIA_STM,Rep1_AREA,Rep1_AVG_DENSITY,Rep1_TD_AVG,Rep1_SKL_DEPTH,Rep1_RTP_COUNT,Rep1_Rootlength (cm),Angle,Number of Plants,Rep2_DIA_STM,Rep2_AREA,Rep2_AVG_DENSITY,Rep2_TD_AVG,Rep2_SKL_DEPTH,Rep2_RTP_COUNT,Rep2_Rootlength (cm),Angle,Dry shoot weight (mg),Root weight (g),Fresh shoot weight (g),Water content (g),Actual Height_I,Actual Height_II,Leaf angle-2_I,Leaf angle-3_I,Leaf angle-2_II,Leaf angle-3_II,Number of Plants          (Blank = 2),Number of leaves_I,Number of Leaves_II,Leaf Area cm^2,"Adjusted contrast 
(Control = Orange)",Leaf Area cm^2 (after adjustment),Number of Plants          (Blank = 2),Leaf Area cm^2/plant,Date AA/OA Data Received,LCMS/GCMS ID,GABA,His,Ile,Leu,Lys,Phe,Pro,Trp,Tyr,Val,FUM,MAL,SUC,CIT,LAC
1,7/17/17,2,2,7/30/17,BG-CaCl2,Complete,Complete,G,G,,,7/30/17,2,8.86496,40.2309,0.317107,0.0410359,0.0410359,158,17,,2,10.141,142995,1.14883,2.54631,2.54631,134,16,,No Dry Shoot,4.05,2.32,#VALUE!,22.3,17.9,,,,,2,3,4,29.34,,29.34,2,14.67,113017,87,89.60818508,435.0117511,99.15532187,46.08648923,471.1011585,49.34100956,20.4989842,13.84078641,141.4673854,144.7194743,0,0,10.7205904,,
2,7/17/17,2,2,7/30/17,BG-CaCl2,Complete,Complete,G,G,,,7/30/17,2,8.0078,24.3282,1.01078,0.0361616,0.0361616,116,14,,2,11.428,31.2508,0.282921,0.0329797,0.0329797,151,20,,No Dry Shoot,3.79,3.54,#VALUE!,30.2,13.9,,,,,2,3,4,55.49,,55.49,2,27.745,113017,88,98.81189629,89.12932095,91.10786882,86.51790371,104.8860676,70.54222461,47.84839425,30.28585811,161.8033221,125.0617457,0,0,5.731248589,,
3,7/17/17,2,2,7/30/17,BG-CaCl2,Complete,Complete,G,G,,,7/30/17,2,10.4524,52.3745,1.01058,0.0392818,0.0392818,265,23,,2,9.81493,46.7277,0.364246,0.0390914,0.0390914,156,16,,No Dry Shoot,5.1,6.29,#VALUE!,29.3,21,,,,,2,4,5,49.78,24.92,49.78,2,24.89,113017,89,37.55576518,88.80390485,47.14569904,15.52644145,157.5112407,17.95745454,7.092236368,6.267784412,41.08743763,131.8366865,0,0,6.290455948,,
4,7/17/17,2,2,7/30/17,BG-CaCl2,Complete,Complete,G,G,all the pictures from 7/30/17 were taken without protect the roots from the light,,7/30/17,2,9.86947,64.8228,0.834631,0.0386652,0.0386652,219,23,,2,10,47.0383,0.438484,0.0393699,0.0393699,155,20.5,,No Dry Shoot,5.9,4.96,#VALUE!,27.8,22.3,,,,,2,4,5,47.17,,47.17,2,23.585,113017,90,67.87099555,40.46982041,36.76839212,22.33355661,67.03205843,32.36690374,21.75272826,13.9171686,62.54624314,96.04902485,0,0,8.09097312,,
6,7/17/17,2,2,7/30/17,BG-CaCl2,Complete,Complete,G,G,,,7/30/17,2,10.141,33.8574,0.458416,0.0344368,0.0344368,160,22,,2,12.7833,38.4542,0.769531,0.0347459,0.0347459,219,20,,No Dry Shoot,3.89,3.8,#VALUE!,17,16,,,,,2,5,5,43.21,,43.21,2,21.605,113017,92,108.2330953,321.9764174,37.65652442,20.35916658,329.4572081,43.86279351,25.42991582,4.259172117,20.58237397,50.71791383,0,0,4.514038883,,
7,7/17/17,2,2,7/30/17,BG-CaCl2,Complete,Complete,G,G,,,7/30/17,2,13.9295,28.1065,0.73477,0.0368888,0.0368888,171,22,,2,7.74597,20.4119,1.14981,0.0391909,0.0391909,53,21,,No Dry Shoot,3.4,2.61,#VALUE!,18.6,16.6,,,,,2,4,3,29.48,20.79,29.48,2,14.74,113017,93,378.1741352,1294.99949,79.460724,80.76422619,679.1839667,40.89404325,64.95782007,17.65611403,102.3262116,149.6902736,0,0,10.45185954,,
8,7/17/17,2,2,7/30/17,BG-CaCl2,Complete,Complete,G,G,PICS ON 11/20/17 GREEN LABEL,,7/30/17,2,11.9745,59.8054,0.686247,0.0359297,0.0359297,209,24,,2,9.8653,31.6792,0.298962,0.0354104,0.0354104,130,19,,No Dry Shoot,4.85,5.93,#VALUE!,24.7,20.6,,,,,2,5,5,64.11,,64.11,2,32.055,113017,94,76.54219278,134.1350505,44.7206997,18.52301826,231.5426804,24.40943521,14.13394342,7.978874109,61.15254346,87.89813245,0,0,19.50273102,,
9,7/17/17,2,2,7/30/17,BG-CaCl2,Complete,Complete,G,G,,,7/30/17,2,9.38083,33.2416,0.456066,0.0364837,0.0364837,133,15,,2,12.2599,43.9953,0.629725,0.0390644,0.0390644,196,23,,No Dry Shoot,4.48,4.86,#VALUE!,20.1,20.2,,,,,2,5,4,41.07,,41.07,2,20.535,113017,95,135.989743,200.4401387,36.41716087,32.59586196,217.2920014,33.7796924,23.84895253,5.387363203,21.78656455,72.32953758,0,0,5.89838195,,
10,7/17/17,2,2,7/30/17,BG-CaCl2,Complete,Complete,G,G,,,7/30/17,2,10.583,31.4913,1.73286,0.0446113,0.0446113,97,14,,2,10.2131,33.1623,0.983897,0.0436392,0.0436392,96,14.5,,No Dry Shoot,4.05,4.6,#VALUE!,24.1,25.8,,,,,2,4,3,52.15,,52.15,2,26.075,113017,96,31.47678492,33.56947109,47.33124162,14.53397771,93.20512844,19.37229747,4.981727554,5.152931277,43.88486549,80.74161827,0,0,9.434707959,,
11,7/17/17,2,2,7/30/17,BG-CaCl2,Complete,Complete,One plant smaller,G,,,7/30/17,2,8.87642,38.4688,0.630992,0.0371842,0.0371842,155,23,,2,8.64443,55.0327,0.518191,0.0361531,0.0361531,213,20.5,,No Dry Shoot,3.86,4.05,#VALUE!,34.9,26.3,,,,,2,4,3,34.55,,34.55,2,17.275,113017,97,63.67871161,93.89019661,47.69049203,15.73265628,160.8296048,18.8112599,8.963662035,6.203397858,60.78928236,141.2097657,0,0,9.139119283,,
